A & N Islands,81.09
Andhra Pradesh,67.09
Arunachal Pradesh,68.78
Assam,70.42
Bihar,48.13
Chandigarh,94.48
Chhattisgarh,63.87
Dadra & Nagar Haveli,73.79
Delhi,90.21
Goa,79.81
Gujarat,72.97
Haryana,74.75
Himachal Pradesh,70.93
Jammu & Kashmir,71.83
Jharkhand,72.05
Karnataka,81.11
Kerala,80.15
Lakshadweep,90.7
Madhya Pradesh,65.33
Maharashtra,73.35
Manipur,66.34
Meghalaya,64.79
Mizoram,78.49
Nagaland,79
Odisha,39.71
Puducherry,95.38
Punjab,90.9
Rajasthan,59.58
Sikkim,76.05
Tamil Nadu,83.46
Tripura,73.8
Uttar Pradesh,42.42
Uttarakhand,83.35
West Bengal,71.76
